address|clean_address|lat|lng|loc_type|num_results
Amungula Pl, Wamboin ACT|Amungula Place, Wamboin NSW 2620, Australia|-35.247649|149.300048|GEOMETRIC_CENTER|1
Amy Ackman St, Forde ACT|Amy Ackman Street, Forde ACT 2914, Australia|-35.164855|149.146310|GEOMETRIC_CENTER|1
Amy Witting St, Franklin ACT|Amy Witting Street, Franklin ACT 2913, Australia|-35.205988|149.142083|GEOMETRIC_CENTER|1
Anakie Ct, Ngunnawal ACT|Anakie Court, Ngunnawal ACT 2913, Australia|-35.166546|149.104409|GEOMETRIC_CENTER|1
Anchorage St, Harrison ACT|Anchorage Street, Harrison ACT 2914, Australia|-35.187448|149.156650|GEOMETRIC_CENTER|1
Andado Pl, Hawker ACT|Andado Place, Hawker ACT 2614, Australia|-35.241152|149.030584|GEOMETRIC_CENTER|1
Andamooka St, Fisher ACT|Andamooka Street, Weston Creek ACT 2611, Australia|-35.359487|149.050346|GEOMETRIC_CENTER|1
Andersch St, Casey ACT|Andersch Street, Casey ACT 2913, Australia|-35.160316|149.100689|GEOMETRIC_CENTER|1
Anderson St, Chifley ACT|Anderson Street, Chifley ACT 2606, Australia|-35.349765|149.080868|GEOMETRIC_CENTER|1
Andrea Pl, Bonython ACT|Andrea Place, Bonython ACT 2905, Australia|-35.431561|149.074126|GEOMETRIC_CENTER|1
Andrew Cres, Calwell ACT|Andrew Crescent, Calwell ACT 2905, Australia|-35.440577|149.101134|GEOMETRIC_CENTER|1
Andrews St, Watson ACT|Andrews Street, Watson ACT 2602, Australia|-35.241324|149.154376|GEOMETRIC_CENTER|1
Andruco St, Harrison ACT|Andruco Street, Harrison ACT 2914, Australia|-35.201567|149.160224|GEOMETRIC_CENTER|1
Anembo St, Narrabundah ACT|Anembo Street, Narrabundah ACT 2604, Australia|-35.330754|149.154384|GEOMETRIC_CENTER|1
Angas St, Ainslie ACT|Angas Street, Ainslie ACT 2602, Australia|-35.261727|149.139122|GEOMETRIC_CENTER|1
Angell Pl, Banks ACT|Angell Place, Banks ACT 2906, Australia|-35.467704|149.104891|GEOMETRIC_CENTER|1
Angles Cl, Nicholls ACT|Angles Close, Nicholls ACT 2913, Australia|-35.185640|149.110100|GEOMETRIC_CENTER|1
Angles Ct, Nicholls ACT|Angles Close, Nicholls ACT 2913, Australia|-35.185640|149.110100|GEOMETRIC_CENTER|1
Angliss Pl, Wanniassa ACT|Angliss Place, Wanniassa ACT 2903, Australia|-35.399735|149.099529|GEOMETRIC_CENTER|1
Angophora St, Rivett ACT|Angophora Street, Weston Creek ACT 2611, Australia|-35.346816|149.032721|GEOMETRIC_CENTER|1
Angora St, Harrison ACT|Angora Street, Harrison ACT 2914, Australia|-35.200395|149.159076|GEOMETRIC_CENTER|1
Angwin Pl, Theodore ACT|Angwin Place, Theodore ACT 2905, Australia|-35.448259|149.125811|GEOMETRIC_CENTER|1
Ankaa Pl, Giralang ACT|Ankaa Place, Giralang ACT 2617, Australia|-35.214053|149.099942|GEOMETRIC_CENTER|1
Anketell St, Greenway ACT|Anketell Street, Greenway ACT 2900, Australia|-35.417457|149.069003|GEOMETRIC_CENTER|1
Anna Morgan Cct, Bonner ACT|Anna Morgan Circuit, Bonner ACT 2914, Australia|-35.164282|149.139713|GEOMETRIC_CENTER|1
Annan Cl, Amaroo ACT|Annan Close, Amaroo ACT 2914, Australia|-35.170328|149.127015|GEOMETRIC_CENTER|1
Annand Pl, Karabar ACT|Annand Place, Karabar NSW 2620, Australia|-35.375782|149.248631|GEOMETRIC_CENTER|1
Annand Pl, Wanniassa ACT|Annand Place, Wanniassa ACT 2903, Australia|-35.404897|149.081803|GEOMETRIC_CENTER|1
Anne Clark Ave, Nicholls ACT|Anne Clark Avenue, Nicholls ACT 2913, Australia|-35.182502|149.104544|GEOMETRIC_CENTER|1
Anne Pl, Lyons ACT|Anne Place, Lyons ACT 2606, Australia|-35.335393|149.075792|GEOMETRIC_CENTER|1
Anne St, Karabar ACT|Anne Street, Karabar NSW 2620, Australia|-35.363992|149.226669|GEOMETRIC_CENTER|1
Annear Pl, Fadden ACT|Annear Place, Fadden ACT 2904, Australia|-35.401782|149.120745|GEOMETRIC_CENTER|1
Annie Douglas St, Casey ACT|Annie Douglas Street, Casey ACT 2913, Australia|-35.157783|149.102023|GEOMETRIC_CENTER|1
Anningie Pl, Hawker ACT|Anningie Place, Hawker ACT 2614, Australia|-35.248827|149.033451|GEOMETRIC_CENTER|1
Ansett St, Gungahlin ACT|Ansett Street, Gungahlin ACT 2912, Australia|-35.184800|149.152018|GEOMETRIC_CENTER|1
Anstey St, Pearce ACT|Anstey Street, Pearce ACT 2607, Australia|-35.363557|149.077240|GEOMETRIC_CENTER|1
Antares Cres, Giralang ACT|Antares Crescent, Giralang ACT 2617, Australia|-35.208473|149.101480|GEOMETRIC_CENTER|1
Anthony Rolfe Ave, Gungahlin ACT|Anthony Rolfe Avenue, Gungahlin ACT, Australia|-35.184454|149.141997|GEOMETRIC_CENTER|1
Anthony Rolfe Ave, Harrison ACT|Anthony Rolfe Avenue, Harrison ACT 2914, Australia|-35.185544|149.154199|GEOMETRIC_CENTER|1
Antill St, Dickson ACT|Antill Street, Dickson ACT 2602, Australia|-35.248771|149.143925|GEOMETRIC_CENTER|1
Antill St, Downer ACT|Antill Street, Downer ACT 2602, Australia|-35.248621|149.144310|GEOMETRIC_CENTER|1
Antill St, Hackett ACT|Antill Street, Hackett ACT 2602, Australia|-35.243966|149.159794|GEOMETRIC_CENTER|1
Antill St, Queanbeyan ACT|Antill Street, Queanbeyan NSW 2620, Australia|-35.348942|149.233385|GEOMETRIC_CENTER|1
Antill St, Watson ACT|Antill Street, Watson ACT 2602, Australia|-35.235582|149.166319|GEOMETRIC_CENTER|1
